Compound,Count,Date,Negative,Neutral,Positive,Tweet,User
0.0,4,Fri Sep 28 16:51:50 +0000 2018,1.0,0.0,0.0,"⚡️ “Murphy Brown Returns to CBS”

https://t.co/3vsAg7WcB1",CBS
0.0,5,Thu Sep 27 20:19:18 +0000 2018,1.0,0.0,0.0,.@TheNeighborhood's @iamgreenfield revealing his Fiddler on the Roof goals on @latelateshow will be the earworm you… https://t.co/swbh8HPwA1,CBS
0.0,6,Thu Sep 27 20:01:53 +0000 2018,1.0,0.0,0.0,RT @MurphyBrownCBS: A moment 20 years in the making all comes down to this. #MurphyBrown returns to @CBS tonight! https://t.co/tWSMFM3YbG,CBS
0.0,7,Thu Sep 27 17:19:16 +0000 2018,1.0,0.0,0.0,"Candice Bergen tells @colbertlateshow the presidential way tonight's @MurphyBrownCBS premiere imitates life, albeit… https://t.co/4Kbk8gt6nS",CBS
-0.34,8,Thu Sep 27 16:58:08 +0000 2018,0.581,0.25,0.169,@marlagardner222 @jay_hernandez Good idea. The theme song is a dead giveaway. 😉,CBS
0.0,9,Thu Sep 27 00:44:13 +0000 2018,1.0,0.0,0.0,@queenmama7777 @CBSAllAccess We believe in you! https://t.co/ZK0xaPRxVr,CBS
0.0,10,Thu Sep 27 00:42:15 +0000 2018,1.0,0.0,0.0,@BSkyjackcity @jokersupdates @CBSAllAccess On it. https://t.co/yxKX9ry7fw,CBS
0.114,11,Wed Sep 26 21:49:27 +0000 2018,0.929,0.0,0.071,Sixteen houseguests entered and now it's down to the Final 3. Don't miss a second of the 90-minute #BB20Finale toni… https://t.co/KwDHR9Hfqu,CBS
0.625,12,Wed Sep 26 19:57:54 +0000 2018,0.779,0.0,0.221,"The tribe has spoken, and they do a pretty decent @JeffProbst impression just in time for the @survivorcbs Season P… https://t.co/2Ps8VKblay",CBS
0.0,13,Wed Sep 26 17:25:43 +0000 2018,1.0,0.0,0.0,"⚡️ “FBI Premieres on CBS”

https://t.co/faL6iHZc5g",CBS
